Date,Comments,Eth Transactions,Price
2/12/2018,1519,829020,865.27
2/11/2018,1222,773496,811.24
2/10/2018,1702,848390,850.75
2/9/2018,2810,789807,877.88
2/8/2018,2320,681344,813.55
2/7/2018,3341,818625,751.81
2/6/2018,6677,888219,785.01
2/5/2018,9613,875761,695.08
2/4/2018,2827,800876,827.59
2/3/2018,1882,814486,970.87
2/2/2018,6109,981133,917.47
2/1/2018,6905,1008759,1026.19
1/31/2018,3720,877284,1111.31
1/30/2018,4746,906578,1063.75
1/29/2018,2819,936845,1169.96
1/28/2018,3512,889104,1231.58
1/27/2018,2334,831992,1109.08
1/26/2018,3009,953429,1048.58
1/25/2018,2718,788515,1046.37
1/24/2018,3336,913668,1061.78
1/23/2018,3097,928494,984.47
1/22/2018,3948,972911,999.64
1/21/2018,2003,1006530,1049.09
1/20/2018,2090,984489,1150.5
1/19/2018,3191,1043257,1037.36
1/18/2018,3697,1205184,1012.97
1/17/2018,9104,1277083,1024.69
1/16/2018,8215,1277936,1050.26
1/15/2018,2850,1206420,1278.69
1/14/2018,2680,1081593,1359.48
1/13/2018,3870,1179321,1385.02
1/12/2018,3301,1118757,1261.03
1/11/2018,4023,1173965,1139.32
1/10/2018,6174,1177685,1248.99
1/9/2018,7133,1256240,1289.24
1/8/2018,5196,1215473,1136.11
1/7/2018,5826,1152722,1117.75
1/6/2018,3807,1226417,1006.41
1/5/2018,4323,1271577,967.13
1/4/2018,5890,1349890,944.83
1/3/2018,5066,1238030,941.1
1/2/2018,3523,1153936,861.97
1/1/2018,2821,908945,756.2
12/31/2017,1616,946981,741.13
12/30/2017,2257,1136659,692.99
12/29/2017,2958,1090191,739.6
12/28/2017,2171,949503,716.69
12/27/2017,2366,912752,739.94
12/26/2017,1810,813510,753.4
12/25/2017,1617,752361,723.14
12/24/2017,1970,758234,675.91
12/23/2017,3151,918881,700.44
12/22/2017,6898,1103523,657.83
12/21/2017,6159,1072665,789.39
12/20/2017,5632,986104,799.17
12/19/2017,7688,1092234,812.5
12/18/2017,6506,984021,785.99
12/17/2017,3164,876574,717.71
12/16/2017,2879,899857,692.83
12/15/2017,3063,904346,684.27
12/14/2017,4514,942559,693.58
12/13/2017,7695,909631,699.09
12/12/2017,10066,872340,656.52
12/11/2017,5258,828899,513.29
12/7/2017,5858,659068,421.15
12/6/2017,4976,791746,422.48
12/5/2017,3628,693090,453.96
12/4/2017,2817,701834,466.93
12/3/2017,2687,693808,462.81
12/2/2017,1709,627785,457.96
12/1/2017,3213,622720,461.58
11/30/2017,3964,655457,434.85
11/29/2017,8556,663579,427.42
11/28/2017,4754,638989,466.27
11/27/2017,4156,608695,475.24
11/26/2017,3743,542484,470.54
11/25/2017,3480,561166,464.61
11/24/2017,6687,525529,470.43
11/23/2017,6799,537068,406.57
11/22/2017,3564,546489,380.84
11/21/2017,2838,524044,360.52
11/20/2017,3821,530141,367.71
11/19/2017,3036,464563,354.6
11/18/2017,2473,459679,346.65
11/17/2017,1868,508590,331.72
11/16/2017,2304,491482,330.32
11/15/2017,2161,540593,331.2
11/14/2017,3554,475984,334.72
11/13/2017,2525,443176,314.6
11/12/2017,3194,434380,306.02
11/11/2017,3416,394378,314.23
11/10/2017,2876,457427,296.86
11/9/2017,2890,467172,319.66
11/8/2017,3547,480413,307.35
11/7/2017,3388,470418,291.84
11/6/2017,1658,511663,296.82
11/5/2017,1085,417102,296.23
11/4/2017,1096,398758,300.04
11/3/2017,1799,485790,304.51
11/2/2017,2240,529277,284.92
11/1/2017,2718,527783,289.42
10/31/2017,1796,519906,303.64
10/30/2017,960,532626,306.8
10/29/2017,1061,494176,304.04
10/28/2017,548,484554,293.35
10/27/2017,1112,486147,296.36
10/26/2017,1348,466406,295.54
10/25/2017,1280,460419,296.35
10/24/2017,1733,492288,296.5
10/23/2017,2730,468168,285.27
10/22/2017,1034,435493,294.03
10/21/2017,1469,462902,299.55
10/20/2017,2491,546837,303.08
10/19/2017,1572,494184,307.41
10/18/2017,2174,470449,313.54
10/17/2017,2021,505611,316.14
10/16/2017,1637,408297,334.23
10/15/2017,2346,328921,336.58
10/14/2017,1197,332169,338.81
10/13/2017,2692,379136,336.83
10/12/2017,3222,363411,302.89
10/11/2017,1379,344305,302.86
10/10/2017,1470,349605,298.46
10/9/2017,2319,328172,296.95
10/8/2017,977,296829,309.49
10/7/2017,711,291091,311.26
10/6/2017,1467,319882,308.33
10/5/2017,1010,314808,294.99
10/4/2017,1011,307399,291.68
10/3/2017,1225,327906,291.81
10/2/2017,1218,306095,296.81
10/1/2017,1185,283871,303.95
9/30/2017,1218,295798,302.77
9/29/2017,1590,326502,292.58
9/28/2017,2008,329208,302.77
9/27/2017,2441,309047,309.97
9/26/2017,1556,306075,288.64
9/25/2017,2071,306614,294.89
9/24/2017,1408,280929,282.6
9/23/2017,1515,260107,286.14
9/22/2017,1675,271470,262.94
9/21/2017,2330,317074,257.77
9/20/2017,1899,324984,283.56
9/19/2017,1920,337752,283
9/18/2017,2830,362764,297.53
9/17/2017,2106,289517,258.4
9/16/2017,1986,373764,254.49
9/15/2017,6081,441767,259.57
9/14/2017,5576,380251,223.14
9/13/2017,3441,365679,275.84
9/12/2017,4061,404898,294.1
9/11/2017,2101,365384,297.95
9/10/2017,2057,325128,299.21
9/9/2017,1739,383654,303.79
9/8/2017,4352,463670,306.72
9/7/2017,2657,448347,335.37
9/6/2017,2709,496376,338.92
9/5/2017,3037,444572,317.94
9/4/2017,6699,442592,303.7
9/3/2017,1846,302525,352.45
9/2/2017,4075,331797,351.03
9/1/2017,4729,390997,391.42
8/31/2017,4637,384421,388.33
8/30/2017,4847,400220,383.86
8/29/2017,5500,394649,372.35
8/28/2017,2854,363799,347.66
8/27/2017,2274,324173,347.88
8/26/2017,1620,306268,332.86
8/25/2017,2405,352621,330.06
8/24/2017,2925,352465,325.28
8/23/2017,2874,374711,317.4
8/22/2017,3226,364727,313.37
8/21/2017,5548,392880,321.85
8/20/2017,3018,309926,298.2
8/19/2017,2631,377418,293.02
8/18/2017,3909,443356,292.62
8/17/2017,4187,428007,300.3
8/16/2017,4520,413624,301.38
8/15/2017,4361,413246,286.52
8/14/2017,4585,410061,299.16
8/13/2017,3630,333011,296.62
8/12/2017,4646,338654,308.02
8/11/2017,5872,356682,309.32
8/10/2017,6203,338241,298.28
8/9/2017,4730,280308,295.28
8/8/2017,7056,318866,296.51
8/7/2017,3865,281172,269.94
8/6/2017,3469,265127,264.56
8/5/2017,4113,261400,253.09
8/4/2017,2610,257160,220.6
8/3/2017,2725,236335,224.39
8/2/2017,3557,231068,218.12
8/1/2017,6522,218582,225.9
7/31/2017,3714,250090,201.33
7/30/2017,1611,206624,196.78
7/29/2017,2841,198773,206.14
7/28/2017,3418,246494,191.21
7/27/2017,2469,225435,202.93
7/26/2017,2183,223010,202.88
7/25/2017,3749,242956,203.59
7/24/2017,2145,263095,225.48
7/23/2017,1750,260490,228.32
7/22/2017,2588,205574,230.47
7/21/2017,3711,232560,216.33
7/20/2017,6559,250065,226.33
7/19/2017,6691,270122,194.41
7/18/2017,8057,271055,227.09
7/17/2017,4599,248473,189.97
7/16/2017,5661,249138,155.42
7/15/2017,4014,231961,169.1
7/14/2017,3531,249381,197.14
7/13/2017,3610,260745,205.41
7/12/2017,4839,283828,224.15
7/11/2017,5943,291677,190.55
7/10/2017,7457,302633,205.76
7/9/2017,1714,225189,237.72
7/8/2017,1988,248142,245.67
7/7/2017,4011,295389,240.94
7/6/2017,2352,258791,265.88
7/5/2017,3306,271606,266
7/4/2017,2391,281465,269.05
7/3/2017,2615,302032,276.41
7/2/2017,2700,248617,283.99
7/1/2017,3028,240465,261
6/30/2017,3674,252652,280.68
6/29/2017,3611,263791,292.9
6/28/2017,5300,274241,315.86
6/27/2017,7250,252995,286.14
6/26/2017,9906,316788,253.68
6/25/2017,5234,231135,279.36
6/24/2017,3290,250570,304.54
6/22/2017,4416,284225,320.97
6/21/2017,9094,221289,325.3
6/20/2017,5471,308488,350.53
